label,name,notice,furigana
燃えないごみ,アイスピック,紙にくるんで、外から分かるように指定袋に「キケン」と貼る,
燃えないごみ,アイロン,,
大型ごみ,アイロン台,指定袋に入り、5kg以下のものは燃えないごみ,
缶・びん・ペットボトル,空き缶（飲食用、調味料）,中身を使い切って、水洗いする　ガソリンなどのオイル缶・ペンキ缶は燃えないごみ　カセットコンロ用ボンベ・スプレー缶はカセットボンベ・スプレー缶の日に,
缶・びん・ペットボトル,空きびん（飲食用、調味料）,中身を使い切って、水洗いする　割れたびん・耐熱ガラス・ガラスコップ・化粧品のびんは燃えないごみ　ビールびん・一升瓶など繰り返し使われるものはできるだけ販売店へ,
燃えないごみ,アクセサリー（腕輪・指輪・ネックレスなど）,,
大型ごみ,アコーディオンカーテン,,
燃えないごみ,アダプター（電源用）,,
燃えないごみ,圧力鍋,,
大型ごみ,編み機,,
缶・びん・ペットボトル,アルミ缶（飲食用）,中身を使い切って、水洗いする,
燃えないごみ,アルミ箔鍋,,
燃えないごみ,アルミホイル,,
燃えるごみ,アルバム,,
大型ごみ,アンテナ,指定袋に入り、5kg以下のものは燃えないごみ,
大型ごみ,衣装ケース（プラ製）,指定袋に入り、5kg以下のものは燃えるごみ,
大型ごみ,いす（金属製）,指定袋に入り、5kg以下のものは燃えないごみ,
大型ごみ,いす（木製・プラ製）,指定袋に入り、5kg以下のものは燃えるごみ,
大型ごみ,一輪車,指定袋に入り、5kg以下のものは燃えないごみ,
缶・びん・ペットボトル,一升瓶,できるだけ販売店へ　中身を使い切って、水洗いする,
燃えないごみ,一斗缶,中身を使い切る,
燃えるごみ,衣服,地域の資源（古紙など）集団回収で集めている場合はできるだけ資源集団回収へ,
収集しない,衣類乾燥機,販売店などへ（家電リサイクル対象品）,
燃えるごみ,入れ歯,金属が含まれている場合は燃えないごみ,
燃えるごみ,インクカートリッジ,販売店へ（資源化ルートあり）,
燃えないごみ,インターホン,,
燃えるごみ,植木の枝,長いものは50cm以下に切って、束ねて指定袋に入れる　太い枝、幹は大型ごみ,
燃えないごみ,植木鉢（陶器製）,,
燃えるごみ,植木鉢（プラ製・木製）,,
燃えるごみ,浮輪,,
燃えないごみ,腕時計,,
